Universitas,Jenis_Program_Studi,Kualitas_Dosen,Kepuasan_Infrastruktur,Keluhan_Fisik,Kendala_Online,Performa_Akademik,Keluhan_Psikis,Kepuasan_Online
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Moody-an,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,5,5,Sering Mengantuk,Kendala Internet,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,5,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,5,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,5,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Sering Mengantuk,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Moody-an,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Moody-an,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Bosan,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Bosan,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,5,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,5,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,5,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,5,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,4,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Computing & Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Computing & Engineering,4,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Bosan,4
Universitas Internasional Batam,Computing & Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Computing & Engineering,3,2,Sering Mengantuk,Kendala Internet,3,Bosan,3
Universitas Internasional Batam,Computing & Engineering,2,3,Kelelahan Mata,Kendala Listrik,4,Stress,4
Universitas Internasional Batam,Computing & Engineering,3,2,Sakit Kepala,Kendala Internet,4,Moody-an,4
Universitas Putera Batam,Computing & Engineering,4,2,Kelelahan Mata,Kendala Internet,2,Depresi,4
Universitas Internasional Batam,Computing & Engineering,4,3,Sakit Kepala,Kendala Perangkat,3,Cemas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Kendala Internet,3,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Politeknik Negeri Batam,Computing & Engineering,5,5,Sering Mengantuk,Tidak Ada Kendala / Tidak Ada Diatas,5,Depresi,1
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,3,Moody-an,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
